type,brickid,longitude,latitude
fcbk,BKI-1,81.7009774952,26.1628498418
fcbk,BKI-5,85.1579190927,25.693971583
fcbk,BKI-6,85.2198982516,25.7651701746
zigzag,BKI-7,85.2196015055,25.7638121878
fcbk,BKI-8,85.4694066309,25.8381792616
fcbk,BKI-9,85.2760902598,25.8154002722
zigzag,BKI-10,85.3372793586,25.9881468457
fcbk,BKI-11,85.4909054103,25.6664200241
zigzag,BKI-12,85.2564088946,25.6934247632
fcbk,BKI-13,85.4100576467,25.7106867118
zigzag,BKI-14,85.3803545881,25.7571635892
zigzag,BKI-16,88.2518242479,26.443415622
fcbk,BKI-17,84.3823574101,25.4808716749
fcbk,BKI-18,84.2299235334,25.3466693851
fcbk,BKI-19,76.5057747951,29.4358958907
fcbk,BKI-20,76.151305255,29.2081125406
fcbk,BKI-21,76.2886159067,29.4043374277
zigzag,BKI-22,76.3667385096,29.2280907793
fcbk,BKI-23,76.4039223858,29.5605644503
fcbk,BKI-24,76.5783224231,29.3014800786
fcbk,BKI-25,76.3824051354,29.2181576548
zigzag,BKI-38,76.6753442539,28.6574548164
fcbk,BKI-39,84.197720117,25.8768692318
zigzag,BKI-40,82.7085491299,25.2160368393
fcbk,BKI-41,82.5920829763,25.2039705226
fcbk,BKI-42,82.4914356507,25.248625446
fcbk,BKI-43,82.6048557957,25.2048075601
zigzag,BKI-44,82.7476088048,25.3873868679
fcbk,BKI-45,82.8013497175,25.4338195975
fcbk,BKI-46,82.6403090002,25.5226243208
zigzag,BKI-47,82.5244454213,25.4674599905
zigzag,BKI-48,82.4726951237,25.4668190417
fcbk,BKI-49,82.5982623791,25.5660052754
zigzag,BKI-50,82.486765013,25.4219073226
fcbk,BKI-51,82.4860841372,25.4210583441
fcbk,BKI-52,82.7833027653,25.2854684309
fcbk,BKI-53,82.6643194838,25.2439070506
zigzag,BKI-54,82.6317767275,25.1812119853
fcbk,BKI-55,82.4972918486,25.3005883737
fcbk,BKI-56,82.8452777309,25.3983365816
fcbk,BKI-57,82.7357131264,25.545491264
fcbk,BKI-58,82.4743915105,25.4707539183
fcbk,BKI-59,82.7476423422,25.5281079485
zigzag,BKI-60,82.6097118757,25.2522264281
fcbk,BKI-61,82.7728668573,25.3675360924
fcbk,BKI-62,82.7149904931,25.3730458738
fcbk,BKI-63,82.4894391947,25.2489120928
fcbk,BKI-64,82.4901083225,25.2512586042
fcbk,BKI-65,82.717689296,25.372301302
zigzag,BKI-66,86.1533789666,25.4594676068
zigzag,BKI-67,86.2218455135,25.5652965016
zigzag,BKI-68,86.1817156282,25.4174707264
fcbk,BKI-69,81.6181312257,25.8493188015
fcbk,BKI-70,81.7739046863,25.8878124295
fcbk,BKI-71,81.5885422936,25.9641990874
fcbk,BKI-72,81.9053858858,25.6083780128
fcbk,BKI-75,83.977721002,25.9547506814
fcbk,BKI-76,84.1293658618,25.7890428605
fcbk,BKI-114,84.1488981697,25.8775748761
fcbk,BKI-115,84.2169045671,25.7503311
fcbk,BKI-116,77.5110530874,30.0615226644
zigzag,BKI-117,77.4897778499,30.0582945866
fcbk,BKI-118,77.7506434629,30.1450604467
zigzag,BKI-119,77.8418595451,30.0705970134
fcbk,BKI-120,77.5179349636,30.0859712883
fcbk,BKI-151,81.4591897065,26.0407059982
zigzag,BKI-152,81.5030962707,26.245863854
zigzag,BKI-153,81.1711701114,26.1597489483
fcbk,BKI-154,84.1282014777,25.7985420795
fcbk,BKI-155,83.8938612779,25.9516880719
fcbk,BKI-156,81.2148355155,26.2787859938
fcbk,BKI-157,81.1840956553,25.9909948614
fcbk,BKI-158,81.2715394303,26.3311107478
zigzag,BKI-159,81.2655493068,26.0792078031
fcbk,BKI-160,81.4693944329,26.0435584923
fcbk,BKI-161,81.3839716763,26.163145307
fcbk,BKI-162,81.3382049766,26.2283373401
fcbk,BKI-163,81.1341802986,26.2217099223
fcbk,BKI-164,81.3666925063,26.2097260032
fcbk,BKI-168,84.0947490098,25.9190978274
fcbk,BKI-169,83.8837088291,25.8437987297
fcbk,BKI-174,83.8372998833,25.7631459738
zigzag,BKI-175,84.158800197,25.6828790221
fcbk,BKI-176,83.8789560672,25.9564786086
fcbk,BKI-191,83.8927130223,25.7117342523
fcbk,BKI-192,84.020448284,25.8511629346
fcbk,BKI-195,85.3756334829,25.7570177533
fcbk,BKI-196,85.3744974145,25.7513556009
zigzag,BKI-197,85.373972667,25.7542505492
zigzag,BKI-198,85.3581538664,25.7699505542
zigzag,BKI-199,85.4076086264,25.7355745763
fcbk,BKI-200,85.3301015503,25.9688510812
zigzag,BKI-201,85.2930146366,25.6711298728
zigzag,BKI-202,85.2917614459,25.6743760244
zigzag,BKI-206,85.27032843,25.6855881292
zigzag,BKI-207,76.4277044813,28.7906948936
fcbk,BKI-208,76.2813339823,28.8214190507
zigzag,BKI-209,76.1632809136,28.837592728
fcbk,BKI-210,76.4379957788,28.9129977724
zigzag,BKI-211,76.1730066877,28.9959880649
zigzag,BKI-212,76.4048934087,28.7816412701
zigzag,BKI-213,76.2845708436,28.8033716272
fcbk,BKI-216,84.0632745306,25.8880899546
fcbk,BKI-217,84.0487705168,25.8674795707
fcbk,BKI-226,76.1716101898,28.9981523856
fcbk,BKI-227,76.2773926387,28.8065520644
zigzag,BKI-228,76.4280893733,29.1332399205
fcbk,BKI-229,76.4338714584,29.1311110192
fcbk,BKI-230,76.46520462,29.0036544707
zigzag,BKI-231,76.410827882,28.8153273063
fcbk,BKI-242,76.5209470458,28.8217104141
fcbk,BKI-243,76.5633097886,28.9870085257
fcbk,BKI-244,76.3284486779,29.0260001298
zigzag,BKI-245,76.290688025,28.815753731
fcbk,BKI-246,76.3932726923,28.7850421468
fcbk,BKI-247,76.3494073398,28.9983626424
fcbk,BKI-248,76.4292416468,29.1405580415
zigzag,BKI-249,76.5314983033,28.9627824987
fcbk,BKI-250,76.5003421264,28.8395427603
fcbk,BKI-251,76.2823817175,28.8239043609
zigzag,BKI-252,76.4046041135,28.7827297038
zigzag,BKI-253,76.2727125144,28.8184931188
zigzag,BKI-254,76.2639319597,28.8009590214
fcbk,BKI-255,76.3268133243,29.0246155059
fcbk,BKI-256,76.1639540801,29.0998702815
fcbk,BKI-259,83.8803346042,25.8976220446
fcbk,BKI-261,74.2532903295,29.5493844299
fcbk,BKI-262,74.2519022492,29.5442282777
fcbk,BKI-263,74.1223169459,29.46160869
fcbk,BKI-264,74.2774455004,29.5546049986
fcbk,BKI-265,74.2600060706,29.5573220352
fcbk,BKI-266,74.2565298687,29.5562531558
fcbk,BKI-267,74.27482896,29.5508868197
fcbk,BKI-268,74.1102217978,29.4726667049
fcbk,BKI-269,74.2745247638,29.5377300538
fcbk,BKI-270,74.292387826,29.383223361
fcbk,BKI-271,74.184011427,29.5406352518
fcbk,BKI-272,74.1390309546,29.5170576157
fcbk,BKI-273,74.1158842467,29.4709524855
fcbk,BKI-274,76.3927662029,29.0811886701
zigzag,BKI-275,76.4435555862,29.1474906722
fcbk,BKI-276,76.3409380933,29.0730893366
