id,original_i,lat,lon
1,{coal-mining},2848205,7836696
2,{oil-and-gas-refining},2856846,7472230
3,{oil-and-gas-refining},3435997,8558054
4,{oil-and-gas-refining},3525135,7896129
5,{oil-and-gas-refining},3170835,8648035
6,{oil-and-gas-refining},3493767,8343767
7,{oil-and-gas-refining},3969014,8134446
8,{oil-and-gas-refining},2928380,9580156
9,{coal-mining},2713770,9688503
10,{coal-mining},2711364,9689794
11,{coal-mining},2729017,9689857
12,{coal-mining},2714791,9692621
13,{coal-mining},2710825,9692756
14,{coal-mining},2703217,9694353
15,{coal-mining},2710266,9694454
16,{coal-mining},2712237,9697492
17,{coal-mining},2709883,9700298
18,{coal-mining},2712725,9702874
19,{coal-mining},2711017,9702911
20,{coal-mining},2711037,9704095
21,{coal-mining},2707872,9704351
22,{coal-mining},2707867,9704394
23,{coal-mining},2710863,9705267
24,{coal-mining},2710243,9705535
25,{coal-mining},2711341,9705734
26,{coal-mining},2708120,9706502
27,{coal-mining},2711372,9706830
28,{coal-mining},2713597,9707412
29,{coal-mining},2708848,9707471
30,{coal-mining},2712827,9707607
31,{coal-mining},2711984,9707830
32,{coal-mining},2710808,9708073
33,{coal-mining},2709767,9709582
34,{coal-mining},2715463,9709705
35,{coal-mining},2720149,9710234
36,{coal-mining},2719861,9710733
37,{coal-mining},2711935,9711138
38,{coal-mining},2686940,9711422
39,{coal-mining},2718527,9712845
40,{coal-mining},2716599,9713068
41,{coal-mining},2710606,9713462
42,{coal-mining},2704816,9705659
43,{coal-mining},2708975,9704750
44,{coal-mining},2709986,9705111
45,{coal-mining},2710792,9699272
46,{coal-mining},2714731,9715530
47,{coal-mining},2683404,9716537
48,{coal-mining},2714363,9716770
49,{coal-mining},2712679,9719655
50,{coal-mining},2718256,9719750
51,{coal-mining},2717724,9723759
52,{oil-and-gas-refining},2517026,9807729
53,{oil-and-gas-refining},2713053,10068047
54,{coal-mining},2943115,9903051
55,{coal-mining},2712184,9715411
56,{coal-mining},2880413,9724181
57,{coal-mining},2723707,9666529
58,{coal-mining},2725263,9667407
59,{coal-mining},2715460,9668599
60,{coal-mining},2715107,9669166
61,{coal-mining},2716104,9670914
62,{coal-mining},2725371,9671178
63,{coal-mining},2716238,9672573
64,{coal-mining},2715107,9672584
65,{coal-mining},2717453,9674632
66,{coal-mining},2715691,9675322
67,{coal-mining},2727806,9675356
68,{coal-mining},2727435,9679263
69,{coal-mining},2727584,9682413
70,{coal-mining},2720484,9684086
71,{coal-mining},2730918,9684206
72,{coal-mining},2729664,9687638
73,{coal-mining},2768568,9210853
74,{coal-mining},2769477,9207725
75,{coal-mining},2771490,9211421
76,{coal-mining},2774247,9212378
