name,coordinates,query,latitude,longitude
Nkozi Clays Limited - Head Office,"{""latitude"":0.312921,""longitude"":32.58366}",clay products in uganda,0.312921,32.58366
LwezaClays Ltd,"{""latitude"":0.22420759999999998,""longitude"":32.5424006}",clay products in uganda,0.2242076,32.5424006
Uganda Clays Show Room,"{""latitude"":0.32682639999999996,""longitude"":32.6095401}",clay products in uganda,0.3268264,32.6095401
Unique Clays Works Limited - Oulet,"{""latitude"":0.3809489,""longitude"":32.556326399999996}",clay products in uganda,0.3809489,32.5563264
Kajjansi Quality Clay Products Ltd Kajjansi,"{""latitude"":0.22541519999999998,""longitude"":32.5540668}",clay products in uganda,0.2254152,32.5540668
Ssekidde Clay Products Ltd,"{""latitude"":0.9936999999999999,""longitude"":32.75166}",clay products in uganda,0.9937,32.75166
Ssekidde Clay Products Ltd,"{""latitude"":0.368048,""longitude"":32.622481}",clay products in uganda,0.368048,32.622481
Quality Clay Building Products,"{""latitude"":0.3101275,""longitude"":32.5801303}",clay products in uganda,0.3101275,32.5801303
Uganda Clays Kajjansi,"{""latitude"":0.2119924,""longitude"":32.539194}",clay products in uganda,0.2119924,32.539194
Uganda Clays Ltd Ntinda,"{""latitude"":0.3630874,""longitude"":32.6067281}",clay products in uganda,0.3630874,32.6067281
Unique Clay Works,"{""latitude"":0.4014423,""longitude"":32.588311499999996}",clay products in uganda,0.4014423,32.5883115
One Brick at a Time Office,"{""latitude"":0.6698288,""longitude"":30.2866029}",brick in uganda,0.6698288,30.2866029
Jbk mobile bricks makers,"{""latitude"":0.3522106,""longitude"":32.554671}",brick in uganda,0.3522106,32.554671
Brick by Brick Construction Company Ltd.,"{""latitude"":-0.3319875,""longitude"":31.7450744}",brick in uganda,-0.3319875,31.7450744
Kajjansi Brick & Tile Works Ltd.,"{""latitude"":0.212189,""longitude"":32.5431307}",brick in uganda,0.212189,32.5431307
Water Brick Borehole Drilling Company Uganda,"{""latitude"":0.30681359999999996,""longitude"":32.610991999999996}",brick in uganda,0.3068136,32.610992
iConic Concrete Group - Uganda,"{""latitude"":0.2413783,""longitude"":32.497841199999996}",brick in uganda,0.2413783,32.4978412
Pan Kajjansi Bricks,"{""latitude"":0.3143208,""longitude"":32.5838008}",brick in uganda,0.3143208,32.5838008
Natural Rich International,"{""latitude"":0.2911098,""longitude"":32.559686299999996}",brick in uganda,0.2911098,32.5596863
KIGO CLAYS,"{""latitude"":0.2156689,""longitude"":32.5524173}",brick kilns in uganda,0.2156689,32.5524173
